"by Andy, x","by Andy, y","by 小狐狸🦊, x","by 小狐狸🦊, y"
2022-09-22 00:00:00,8,2022-09-22 00:00:00,7
2022-09-21 00:00:00,3,2022-09-21 00:00:00,2
2022-09-18 00:00:00,12,2022-09-18 00:00:00,13
2022-09-17 00:00:00,15,2022-09-17 00:00:00,7
2022-09-15 00:00:00,1,2022-09-15 00:00:00,2
2022-09-14 00:00:00,46,2022-09-14 00:00:00,34
2022-09-13 00:00:00,183,2022-09-13 00:00:00,146
2022-09-12 00:00:00,6,2022-09-12 00:00:00,3
2022-09-11 00:00:00,18,2022-09-11 00:00:00,13
2022-09-10 00:00:00,90,2022-09-10 00:00:00,74
2022-09-09 00:00:00,105,2022-09-09 00:00:00,77
2022-09-08 00:00:00,164,2022-09-08 00:00:00,122
2022-09-07 00:00:00,230,2022-09-07 00:00:00,141
2022-09-06 00:00:00,121,2022-09-06 00:00:00,84
2022-09-05 00:00:00,223,2022-09-05 00:00:00,148
2022-09-03 00:00:00,38,2022-09-03 00:00:00,35
2022-09-02 00:00:00,38,2022-09-02 00:00:00,20
2022-09-01 00:00:00,169,2022-09-01 00:00:00,146
2022-08-31 00:00:00,86,2022-08-31 00:00:00,64
2022-08-30 00:00:00,59,2022-08-30 00:00:00,52
2022-08-25 00:00:00,9,2022-08-25 00:00:00,6
2022-08-24 00:00:00,2,2022-08-24 00:00:00,1
2022-08-22 00:00:00,7,2022-08-22 00:00:00,6
2022-08-19 00:00:00,3,2022-08-19 00:00:00,1
2022-08-18 00:00:00,71,2022-08-18 00:00:00,54
2022-08-15 00:00:00,28,2022-08-15 00:00:00,21
2022-06-23 00:00:00,14,2022-06-23 00:00:00,6
